verb,cluster,x,y,z
hello1,0,-49.71468429,4.590181075,-32.9361431
hello2,0,-46.88788037,-4.348522993,-39.40920783
hello3,0,-53.7518658,8.670292479,-37.62626738
redress,0,-37.85312489,11.83643358,-30.34118849
pare,0,-45.48341869,-8.261241196,-40.3143949
shave,0,-47.34911309,-9.723152845,-38.01815085
solve,0,-35.4071658,17.14176297,-32.11610398
mediate,0,-37.31085024,18.66024135,-32.1903636
confront,0,-35.15614974,17.29664303,-29.91441407
hello4,0,-32.94517597,21.09175185,-27.69612988
outstrip,0,-56.65600597,-19.10649875,-40.61951059
outpace,0,-56.67498617,-19.14929089,-40.61260621
outperform,0,-58.53654699,-23.12169756,-39.96720995
underperform,0,-58.55946517,-23.1669612,-39.96105206
reinvent,1,-11.40935276,7.954581056,-66.68916461
invent,1,-10.37159961,8.442308938,-66.45651525
reposition,1,-12.86988289,7.358458829,-67.35317827
retool,1,-14.98191999,6.92326932,-68.7620811
spearhead,1,-16.15352702,-3.624112357,-73.30854729

